WORD,MPQA,OPENER,OL,VADER,DALX
commonsense,-1.0,-1.0,-1.0,-1.0,-1.0
commonsensible,1.0,1.0,1.0,1.0,
commonsensibly,1.0,1.0,1.0,1.0,
commonsensical,1.0,1.0,1.0,1.0,
commotion,-1.0,-1.0,-1.0,-1.0,-1.0
commotions,-1.0,-1.0,-1.0,-1.0,
compact,1.0,1.0,1.0,1.0,
compactly,1.0,1.0,1.0,1.0,
compassion,-1.0,-1.0,-1.0,-1.0,-1.0
compassionate,1.0,1.0,1.0,1.0,1.0
compassionated,0.4,0.4,0.4,0.4,
compassionately,1.0,1.0,1.0,1.0,1.0
compassionateness,0.225,0.225,0.225,0.225,
compassionates,0.4,0.4,0.4,0.4,
compassionating,0.4,0.4,0.4,0.4,
compassionless,-1.0,-1.0,-1.0,-1.0,-1.0
compatible,1.0,1.0,1.0,1.0,1.0
compel,-1.0,-1.0,-1.0,-1.0,-1.0
compelled,-1.0,-1.0,-1.0,-1.0,-1.0
compelling,1.0,1.0,1.0,1.0,1.0
compensate,-1.0,-1.0,-1.0,-1.0,-1.0
competence,1.0,1.0,1.0,1.0,
competency,1.0,1.0,1.0,1.0,
competent,1.0,1.0,1.0,1.0,1.0
competitive,1.0,1.0,1.0,1.0,1.0
competitiveness,1.0,1.0,1.0,1.0,
complacent,-1.0,-1.0,-1.0,-1.0,-1.0
complain,-1.0,-1.0,-1.0,-1.0,-1.0
complainant,-1.0,-1.0,-1.0,-1.0,-1.0
complainants,-1.0,-1.0,-1.0,-1.0,-1.0
complained,-1.0,-1.0,-1.0,-1.0,-1.0
complainer,-1.0,-1.0,-1.0,-1.0,-1.0
complainers,-1.0,-1.0,-1.0,-1.0,-1.0
complaining,-1.0,-1.0,-1.0,-1.0,-1.0
complainingly,-0.425,-0.425,-0.425,-0.425,
complains,-1.0,-1.0,-1.0,-1.0,-1.0
complaint,-1.0,-1.0,-1.0,-1.0,-1.0
complaints,-1.0,-1.0,-1.0,-1.0,-1.0
complement,1.0,1.0,1.0,1.0,1.0
complementary,1.0,1.0,1.0,1.0,1.0
complemented,1.0,1.0,1.0,1.0,1.0
complements,1.0,1.0,1.0,1.0,1.0
complete,0.0,0.0,0.0,0.0,
completely,-1.0,-1.0,-1.0,-1.0,-1.0
complex,-1.0,-1.0,-1.0,-1.0,-1.0
compliant,-1.0,-1.0,-1.0,-1.0,-1.0
complicate,-1.0,-1.0,-1.0,-1.0,-1.0
complicated,-1.0,-1.0,-1.0,-1.0,-1.0
complication,-1.0,-1.0,-1.0,-1.0,-1.0
complicit,-1.0,-1.0,-1.0,-1.0,-1.0
compliment,1.0,1.0,1.0,1.0,1.0
complimentarily,1.0,1.0,1.0,1.0,1.0
complimentary,1.0,1.0,1.0,1.0,1.0
complimented,1.0,1.0,1.0,1.0,1.0
complimenting,1.0,1.0,1.0,1.0,1.0
compliments,1.0,1.0,1.0,1.0,1.0
comprehend,-1.0,-1.0,-1.0,-1.0,-1.0
comprehensive,1.0,1.0,1.0,1.0,1.0
compromise,1.0,1.0,1.0,1.0,
compromises,-1.0,-1.0,-1.0,-1.0,-1.0
compulsion,-1.0,-1.0,-1.0,-1.0,-1.0
compulsive,-1.0,-1.0,-1.0,-1.0,-1.0
compulsory,-1.0,-1.0,-1.0,-1.0,
comrades,1.0,1.0,1.0,1.0,
concede,-1.0,-1.0,-1.0,-1.0,-1.0
conceded,-1.0,-1.0,-1.0,-1.0,-1.0
conceit,-1.0,-1.0,-1.0,-1.0,
conceited,-1.0,-1.0,-1.0,-1.0,-1.0
conceivable,-1.0,-1.0,-1.0,-1.0,-1.0
concen,-1.0,-1.0,-1.0,-1.0,
concens,-1.0,-1.0,-1.0,-1.0,
concern,-1.0,-1.0,-1.0,-1.0,-1.0
concerned,-1.0,-1.0,-1.0,-1.0,
concerning,-1.0,-1.0,-1.0,-1.0,-1.0
concerns,-1.0,-1.0,-1.0,-1.0,
concerted,1.0,1.0,1.0,1.0,1.0
concession,-1.0,-1.0,-1.0,-1.0,
concessions,-1.0,-1.0,-1.0,-1.0,
conciliate,1.0,1.0,1.0,0.25,
conciliated,0.275,0.275,0.275,0.275,
conciliates,0.275,0.275,0.275,0.275,
conciliating,0.325,0.325,0.325,0.325,
conciliatory,-1.0,-1.0,-1.0,-1.0,-1.0
concise,1.0,1.0,1.0,1.0,1.0
conclusive,-1.0,-1.0,-1.0,-1.0,-1.0
concrete,-1.0,-1.0,-1.0,-1.0,-1.0
concur,1.0,1.0,1.0,1.0,
condemn,-1.0,-1.0,-1.0,-1.0,-1.0
condemnable,-1.0,-1.0,-1.0,-1.0,
condemnation,-1.0,-1.0,-1.0,-1.0,-1.0
condemned,-1.0,-1.0,-1.0,-1.0,-1.0
condemns,-0.7875,-0.7875,-1.0,-0.575,
condescend,-1.0,-1.0,-1.0,-1.0,-1.0
condescending,-1.0,-1.0,-1.0,-1.0,-1.0
condescendingly,-1.0,-1.0,-1.0,-1.0,-1.0
condescension,-1.0,-1.0,-1.0,-1.0,-1.0
condolence,-1.0,-1.0,-1.0,-1.0,-1.0
condolences,-1.0,-1.0,-1.0,-1.0,-1.0
condone,-1.0,-1.0,-1.0,-1.0,-1.0
conducive,1.0,1.0,1.0,1.0,1.0
confer,1.0,1.0,1.0,1.0,
confess,-1.0,-1.0,-1.0,-1.0,-1.0
confession,-1.0,-1.0,-1.0,-1.0,
confessions,-1.0,-1.0,-1.0,-1.0,
confide,1.0,1.0,1.0,1.0,1.0
confidence,1.0,1.0,1.0,1.0,1.0
confident,1.0,1.0,1.0,1.0,1.0
confidently,1.0,1.0,1.0,1.0,1.0
confined,-1.0,-1.0,-1.0,-1.0,-1.0
conflict,-1.0,-1.0,-1.0,-1.0,-1.0
conflicted,-1.0,-1.0,-1.0,-1.0,-1.0
conflicting,-1.0,-1.0,-1.0,-1.0,-1.0
conflictive,-0.45,-0.45,-0.45,-0.45,
conflicts,-1.0,-1.0,-1.0,-1.0,-1.0
confound,-1.0,-1.0,-1.0,-1.0,
confounded,-1.0,-1.0,-1.0,-1.0,-1.0
confounding,-1.0,-1.0,-1.0,-1.0,-1.0
confront,-1.0,-1.0,-1.0,-1.0,-1.0
confrontation,-1.0,-1.0,-1.0,-1.0,-1.0
confrontational,-1.0,-1.0,-1.0,-1.0,-1.0
confrontationist,-0.25,-0.25,-0.25,-0.25,
confrontationists,-0.3,-0.3,-0.3,-0.3,
confrontations,-1.0,-1.0,-1.0,-1.0,-1.0
confronted,-1.0,-1.0,-1.0,-1.0,-1.0
confronter,-0.075,-0.075,-0.075,-0.075,
confronters,-0.325,-0.325,-0.325,-0.325,
confronting,-1.0,-1.0,-1.0,-1.0,-1.0
confronts,-1.0,-1.0,-1.0,-1.0,-1.0
confuse,-1.0,-1.0,-1.0,-1.0,-1.0
confused,-1.0,-1.0,-1.0,-1.0,-1.0
confusedly,-1.0,-1.0,-1.0,-1.0,-1.0
confusedness,-0.375,-0.375,-0.375,-0.375,
confuses,-1.0,-1.0,-1.0,-1.0,-1.0
confusing,-1.0,-1.0,-1.0,-1.0,-1.0
confusingly,-1.0,-1.0,-1.0,-1.0,-1.0
confusion,-1.0,-1.0,-1.0,-1.0,-1.0
confusional,-0.3,-0.3,-0.3,-0.3,
confusions,-1.0,-1.0,-1.0,-1.0,-1.0
confute,1.0,1.0,1.0,1.0,
congenial,1.0,1.0,1.0,1.0,1.0
congested,-1.0,-1.0,-1.0,-1.0,-1.0
congestion,-1.0,-1.0,-1.0,-1.0,-1.0
congrats,1.0,1.0,1.0,1.0,1.0
congratulate,1.0,1.0,1.0,1.0,1.0
congratulation,1.0,1.0,1.0,1.0,1.0
congratulations,1.0,1.0,1.0,1.0,1.0
congratulatory,1.0,1.0,1.0,1.0,1.0
conjecture,-1.0,-1.0,-1.0,-1.0,-1.0
conquer,1.0,1.0,1.0,1.0,1.0
cons,-1.0,-1.0,-1.0,-1.0,
conscience,-1.0,-1.0,-1.0,-1.0,-1.0
conscientious,1.0,1.0,1.0,1.0,1.0
consciousness,0.0,0.0,0.0,0.0,
conscons,-1.0,-1.0,-1.0,-1.0,
consensus,1.0,1.0,1.0,1.0,
consent,-1.0,-1.0,-1.0,-1.0,-1.0
consents,-1.0,-1.0,-1.0,-1.0,-1.0
consequently,-1.0,-1.0,-1.0,-1.0,-1.0
conservative,-1.0,-1.0,-1.0,-1.0,
consider,0.0,0.0,0.0,0.0,
considerable,1.0,1.0,1.0,1.0,1.0
considerably,1.0,1.0,1.0,1.0,1.0
considerate,1.0,1.0,1.0,1.0,1.0
consideration,0.0,0.0,0.0,0.0,
consistent,1.0,1.0,1.0,1.0,1.0
consistently,1.0,1.0,1.0,1.0,1.0
consolable,0.275,0.275,0.275,0.275,
console,-1.0,-1.0,-1.0,-1.0,-1.0
conspicuous,-1.0,-1.0,-1.0,-1.0,-1.0
conspicuously,-1.0,-1.0,-1.0,-1.0,-1.0
conspiracies,-1.0,-1.0,-1.0,-1.0,
conspiracy,-1.0,-1.0,-1.0,-1.0,-1.0
conspirator,-1.0,-1.0,-1.0,-1.0,
conspiratorial,-1.0,-1.0,-1.0,-1.0,
conspire,-1.0,-1.0,-1.0,-1.0,
constancy,1.0,1.0,1.0,1.0,
consternation,-1.0,-1.0,-1.0,-1.0,-1.0
constitutions,0.0,0.0,0.0,0.0,
constrain,-1.0,-1.0,-1.0,-1.0,
constrained,-0.1,-0.1,-0.1,-0.1,
constraint,-1.0,-1.0,-1.0,-1.0,
constructive,1.0,1.0,1.0,1.0,1.0
consume,-1.0,-1.0,-1.0,-1.0,
consummate,1.0,1.0,1.0,1.0,1.0
contagion,-1.0,-1.0,-1.0,-1.0,-1.0
contagions,-0.375,-0.375,-0.375,-0.375,
contagious,1.0,1.0,1.0,1.0,1.0
contaminate,-1.0,-1.0,-1.0,-1.0,-1.0
contaminated,-1.0,-1.0,-1.0,-1.0,-1.0
contaminates,-1.0,-1.0,-1.0,-1.0,-1.0
contaminating,-1.0,-1.0,-1.0,-1.0,-1.0
contamination,-1.0,-1.0,-1.0,-1.0,-1.0
contemplate,-1.0,-1.0,-1.0,-1.0,-1.0
contempt,-1.0,-1.0,-1.0,-1.0,-1.0
contemptibilities,-0.5,-0.5,-0.5,-0.5,
contemptibility,-0.225,-0.225,-0.225,-0.225,
contemptible,-1.0,-1.0,-1.0,-1.0,-1.0
contemptibleness,-0.475,-0.475,-0.475,-0.475,
contemptibly,-0.35,-0.35,-0.35,-0.35,
contempts,-0.25,-0.25,-0.25,-0.25,
contemptuous,-1.0,-1.0,-1.0,-1.0,-1.0
contemptuously,-1.0,-1.0,-1.0,-1.0,-1.0
contemptuousness,-0.275,-0.275,-0.275,-0.275,
contend,-1.0,-1.0,-1.0,-1.0,-1.0
contender,1.0,1.0,1.0,1.0,1.0
content,1.0,1.0,1.0,1.0,
contented,1.0,1.0,1.0,1.0,1.0
contentedly,0.475,0.475,0.475,0.475,
contentedness,0.35,0.35,0.35,0.35,
contention,-1.0,-1.0,-1.0,-1.0,-1.0
contentious,-1.0,-1.0,-1.0,-1.0,-1.0
contentment,1.0,1.0,1.0,0.375,
contestable,0.15,0.15,0.15,0.15,
continuity,1.0,1.0,1.0,1.0,
continuous,0.0,0.0,0.0,0.0,
contort,-1.0,-1.0,-1.0,-1.0,-1.0
contortions,-1.0,-1.0,-1.0,-1.0,-1.0
contradict,-1.0,-1.0,-1.0,-1.0,-1.0
contradictable,-0.25,-0.25,-0.25,-0.25,
contradicted,-1.0,-1.0,-1.0,-1.0,-1.0
contradicting,-1.0,-1.0,-1.0,-1.0,-1.0
contradiction,-1.0,-1.0,-1.0,-1.0,-1.0
contradictions,-1.0,-1.0,-1.0,-1.0,-1.0
contradictious,-0.475,-0.475,-0.475,-0.475,
contradictor,-0.25,-0.25,-0.25,-0.25,
contradictories,-0.125,-0.125,-0.125,-0.125,
contradictorily,-0.225,-0.225,-0.225,-0.225,
contradictoriness,-0.35,-0.35,-0.35,-0.35,
contradictors,-0.4,-0.4,-0.4,-0.4,
contradictory,-1.0,-1.0,-1.0,-1.0,-1.0
contradicts,-1.0,-1.0,-1.0,-1.0,-1.0
contrariness,-1.0,-1.0,-1.0,-1.0,
contrary,-1.0,-1.0,-1.0,-1.0,-1.0
contrasty,1.0,1.0,1.0,1.0,
contravene,-1.0,-1.0,-1.0,-1.0,
contribution,1.0,1.0,1.0,1.0,1.0
contrive,-1.0,-1.0,-1.0,-1.0,
contrived,-1.0,-1.0,-1.0,-1.0,-1.0
controversial,-1.0,-1.0,-1.0,-1.0,-1.0
controversially,-0.275,-0.275,-0.275,-0.275,
controversy,-1.0,-1.0,-1.0,-1.0,-1.0
convenience,1.0,1.0,1.0,1.0,
convenient,1.0,1.0,1.0,1.0,1.0
conveniently,1.0,1.0,1.0,1.0,1.0
conviction,-1.0,-1.0,-1.0,-1.0,-1.0
convience,1.0,1.0,1.0,1.0,
convienient,1.0,1.0,1.0,1.0,1.0
convient,1.0,1.0,1.0,1.0,1.0
convince,1.0,1.0,0.75,0.25,
convinced,0.425,0.425,0.425,0.425,
convincer,0.15,0.15,0.15,0.15,
convincers,0.075,0.075,0.075,0.075,
convinces,0.175,0.175,0.175,0.175,
convincing,1.0,1.0,1.0,0.425,
convincingly,1.0,1.0,1.0,0.4,
convincingness,0.175,0.175,0.175,0.175,
convivial,1.0,1.0,1.0,1.0,1.0
convoluted,-1.0,-1.0,-1.0,-1.0,-1.0
cool,1.0,1.0,1.0,1.0,1.0
coolest,1.0,1.0,1.0,1.0,1.0
cooperate,-1.0,-1.0,-1.0,-1.0,-1.0
cooperation,1.0,1.0,1.0,1.0,
cooperative,1.0,1.0,1.0,1.0,1.0
cooperatively,1.0,1.0,1.0,1.0,1.0
coping,-1.0,-1.0,-1.0,-1.0,
cordial,1.0,1.0,1.0,1.0,1.0
cornered,-1.0,-1.0,-1.0,-1.0,-1.0
cornerstone,1.0,1.0,1.0,1.0,1.0
corpse,-1.0,-1.0,-1.0,-1.0,-1.0
correct,1.0,1.0,1.0,1.0,
corrective,0.0,0.0,0.0,0.0,
correctly,1.0,1.0,1.0,1.0,
corrode,-1.0,-1.0,-1.0,-1.0,-1.0
corrosion,-1.0,-1.0,-1.0,-1.0,-1.0
corrosions,-1.0,-1.0,-1.0,-1.0,
corrosive,-1.0,-1.0,-1.0,-1.0,-1.0
corrupt,-1.0,-1.0,-1.0,-1.0,-1.0
corrupted,-1.0,-1.0,-1.0,-1.0,-1.0
corrupting,-1.0,-1.0,-1.0,-1.0,-1.0
corruption,-1.0,-1.0,-1.0,-1.0,-1.0
corrupts,-1.0,-1.0,-1.0,-1.0,
corruptted,-1.0,-1.0,-1.0,-1.0,
cost-effective,1.0,1.0,1.0,1.0,1.0
cost-saving,1.0,1.0,1.0,1.0,1.0
costlier,-1.0,-1.0,-1.0,-1.0,
costly,-1.0,-1.0,-1.0,-1.0,-1.0
could,0.0,0.0,0.0,0.0,
counter-attack,1.0,1.0,1.0,1.0,
counter-attacks,1.0,1.0,1.0,1.0,
counter-productive,-1.0,-1.0,-1.0,-1.0,-1.0
counterproductive,-1.0,-1.0,-1.0,-1.0,-1.0
coupists,-1.0,-1.0,-1.0,-1.0,
courage,1.0,1.0,1.0,1.0,1.0
courageous,1.0,1.0,1.0,1.0,1.0
courageously,1.0,1.0,1.0,0.575,
courageousness,1.0,1.0,1.0,0.525,
court,-1.0,-1.0,-1.0,-1.0,-1.0
courteous,1.0,1.0,1.0,1.0,1.0
courtesy,1.0,1.0,0.7916666666666666,0.375,
courtly,1.0,1.0,1.0,1.0,
covenant,1.0,1.0,1.0,1.0,
cover-up,-1.0,-1.0,-1.0,-1.0,-1.0
covert,0.0,0.0,0.0,0.0,
covet,0.0,0.0,0.0,0.0,
coveting,1.0,1.0,1.0,1.0,1.0
covetingly,0.0,0.0,0.0,0.0,
covetous,-1.0,-1.0,-1.0,-1.0,
covetously,0.0,0.0,0.0,0.0,
cow,-1.0,-1.0,-1.0,-1.0,
coward,-1.0,-1.0,-1.0,-1.0,-1.0
cowardly,-1.0,-1.0,-1.0,-1.0,-1.0
coziness,1.0,1.0,1.0,1.0,1.0
cozy,1.0,1.0,1.0,1.0,1.0
crabby,-1.0,-1.0,-1.0,-1.0,-1.0
crack,-1.0,-1.0,-1.0,-1.0,
crackdown,-1.0,-1.0,-1.0,-1.0,-1.0
cracked,-1.0,-1.0,-1.0,-1.0,-1.0
cracks,-1.0,-1.0,-1.0,-1.0,-1.0
craftily,1.0,1.0,1.0,1.0,1.0
craftly,-1.0,-1.0,-1.0,-1.0,
crafty,1.0,1.0,1.0,1.0,1.0
cramp,-1.0,-1.0,-1.0,-1.0,-1.0
cramped,-1.0,-1.0,-1.0,-1.0,-1.0
cramping,-1.0,-1.0,-1.0,-1.0,-1.0
cranky,-1.0,-1.0,-1.0,-1.0,-1.0
crap,-1.0,-1.0,-1.0,-1.0,-1.0
crappy,-1.0,-1.0,-1.0,-1.0,-1.0
craps,-1.0,-1.0,-1.0,-1.0,-1.0
crash,-1.0,-1.0,-1.0,-1.0,-1.0
crashed,-1.0,-1.0,-1.0,-1.0,-1.0
crashes,-1.0,-1.0,-1.0,-1.0,-1.0
crashing,-1.0,-1.0,-1.0,-1.0,-1.0
crass,-1.0,-1.0,-1.0,-1.0,-1.0
crave,1.0,1.0,1.0,1.0,1.0
craven,-1.0,-1.0,-1.0,-1.0,
cravenly,-1.0,-1.0,-1.0,-1.0,
craving,1.0,1.0,1.0,1.0,1.0
craze,1.0,1.0,1.0,1.0,1.0
crazed,-1.0,-1.0,-1.0,-1.0,-1.0
crazes,1.0,1.0,1.0,1.0,1.0
crazier,-0.025,-0.025,-0.025,-0.025,
craziest,-0.05,-0.05,-0.05,-0.05,
crazily,-1.0,-1.0,-1.0,-1.0,-1.0
craziness,-1.0,-1.0,-1.0,-0.4,
crazinesses,-0.25,-0.25,-0.25,-0.25,
crazing,-0.125,-0.125,-0.125,-0.125,
crazy,-1.0,-1.0,-1.0,-1.0,-1.0
crazyweed,0.2,0.2,0.2,0.2,
creak,-1.0,-1.0,-1.0,-1.0,-1.0
creaking,-1.0,-1.0,-1.0,-1.0,-1.0
creaks,-1.0,-1.0,-1.0,-1.0,-1.0
create,1.0,1.0,1.0,1.0,1.0
created,1.0,1.0,1.0,1.0,1.0
creates,1.0,1.0,1.0,1.0,1.0
creatin,0.025,0.025,0.025,0.025,
creatine,0.05,0.05,0.05,0.05,
creating,1.0,1.0,1.0,1.0,1.0
creatinine,0.1,0.1,0.1,0.1,
creation,1.0,1.0,1.0,1.0,1.0
creationism,0.175,0.175,0.175,0.175,
creationisms,0.275,0.275,0.275,0.275,
creationist,0.2,0.2,0.2,0.2,
creationists,0.125,0.125,0.125,0.125,
creations,1.0,1.0,1.0,1.0,1.0
creative,1.0,1.0,1.0,1.0,1.0
creatively,1.0,1.0,1.0,1.0,1.0
creativeness,1.0,1.0,1.0,1.0,1.0
creativities,1.0,1.0,1.0,1.0,1.0
creativity,1.0,1.0,1.0,1.0,1.0
credence,1.0,1.0,1.0,1.0,
credible,1.0,1.0,1.0,1.0,1.0
credit,0.4,0.4,0.4,0.4,
creditabilities,0.35,0.35,0.35,0.35,
creditability,0.475,0.475,0.475,0.475,
creditable,-1.0,-1.0,-1.0,-1.0,-1.0
creditableness,0.3,0.3,0.3,0.3,
creditably,0.425,0.425,0.425,0.425,
credited,0.375,0.375,0.375,0.375,
crediting,0.15,0.15,0.15,0.15,
creditor,-1.0,-1.0,-1.0,-1.0,-1.0
credits,0.375,0.375,0.375,0.375,
creditworthiness,0.475,0.475,0.475,0.475,
creditworthy,0.6,0.6,0.6,0.6,
credulous,-1.0,-1.0,-1.0,-1.0,
creep,-1.0,-1.0,-1.0,-1.0,-1.0
creeping,-1.0,-1.0,-1.0,-1.0,
creeps,-1.0,-1.0,-1.0,-1.0,-1.0
creepy,-1.0,-1.0,-1.0,-1.0,-1.0
crept,-1.0,-1.0,-1.0,-1.0,
crestfallen,-1.0,-1.0,-1.0,-1.0,-1.0
cried,-1.0,-1.0,-1.0,-1.0,-1.0
cries,-1.0,-1.0,-1.0,-1.0,-1.0
crime,-1.0,-1.0,-1.0,-1.0,-1.0
criminal,-1.0,-1.0,-1.0,-1.0,-1.0
criminals,-1.0,-1.0,-1.0,-1.0,-1.0
cringe,-1.0,-1.0,-1.0,-1.0,-1.0
cringed,-1.0,-1.0,-1.0,-1.0,-1.0
cringes,-1.0,-1.0,-1.0,-1.0,-1.0
cripple,-1.0,-1.0,-1.0,-1.0,-1.0
crippled,-1.0,-1.0,-1.0,-1.0,-1.0
cripples,-1.0,-1.0,-1.0,-1.0,-1.0
crippling,-1.0,-1.0,-1.0,-1.0,-1.0
crisis,-1.0,-1.0,-1.0,-1.0,-1.0
crisp,1.0,1.0,1.0,1.0,1.0
crisper,1.0,1.0,1.0,1.0,
critic,-1.0,-1.0,-1.0,-0.275,
critical,-1.0,-1.0,-1.0,-1.0,-1.0
criticise,-0.475,-0.475,-0.475,-0.475,
criticised,-0.45,-0.45,-0.45,-0.45,
criticises,-0.325,-0.325,-0.325,-0.325,
criticising,-0.425,-0.425,-0.425,-0.425,
criticism,-1.0,-1.0,-1.0,-0.475,
criticisms,-1.0,-1.0,-1.0,-0.225,
criticizable,-0.25,-0.25,-0.25,-0.25,
criticize,-1.0,-1.0,-1.0,-1.0,-1.0
criticized,-1.0,-1.0,-1.0,-1.0,-1.0
criticizer,-0.375,-0.375,-0.375,-0.375,
criticizers,-0.4,-0.4,-0.4,-0.4,
criticizes,-1.0,-1.0,-1.0,-1.0,-1.0
criticizing,-1.0,-1.0,-1.0,-1.0,-1.0
critics,-1.0,-1.0,-1.0,-0.3,
cronyism,-1.0,-1.0,-1.0,-1.0,-1.0
crook,-1.0,-1.0,-1.0,-1.0,-1.0
crooked,-1.0,-1.0,-1.0,-1.0,-1.0
crooks,-1.0,-1.0,-1.0,-1.0,-1.0
cross,-1.0,-1.0,-1.0,-1.0,
crowded,-1.0,-1.0,-1.0,-1.0,
crowdedness,-1.0,-1.0,-1.0,-1.0,-1.0
crude,-1.0,-1.0,-1.0,-1.0,-1.0
crudely,-1.0,-1.0,-1.0,-1.0,-1.0
crudeness,-1.0,-1.0,-1.0,-1.0,-1.0
crudenesses,-0.5,-0.5,-0.5,-0.5,
cruder,-0.5,-0.5,-0.5,-0.5,
crudes,-0.275,-0.275,-0.275,-0.275,
crudest,-1.0,-1.0,-1.0,-1.0,-1.0
cruel,-1.0,-1.0,-1.0,-1.0,-1.0
crueler,-0.7875,-0.7875,-1.0,-0.575,
cruelest,-0.825,-0.825,-1.0,-0.65,
crueller,-0.6,-0.6,-0.6,-0.6,
cruellest,-0.725,-0.725,-0.725,-0.725,
cruelly,-1.0,-1.0,-1.0,-1.0,-1.0
cruelness,-0.8625,-0.8625,-1.0,-0.725,
cruelties,-1.0,-1.0,-1.0,-0.575,
cruelty,-1.0,-1.0,-1.0,-0.725,
crumble,-1.0,-1.0,-1.0,-1.0,
crumbling,-1.0,-1.0,-1.0,-1.0,-1.0
crummy,-1.0,-1.0,-1.0,-1.0,-1.0
crumple,-1.0,-1.0,-1.0,-1.0,-1.0
crumpled,-1.0,-1.0,-1.0,-1.0,-1.0
crumples,-1.0,-1.0,-1.0,-1.0,-1.0
crusade,1.0,1.0,1.0,1.0,
crusader,1.0,1.0,1.0,1.0,
crush,1.0,1.0,1.0,1.0,1.0
crushed,-1.0,-1.0,-1.0,-1.0,-1.0
crushes,-0.475,-0.475,-0.475,-0.475,
crushing,-1.0,-1.0,-1.0,-0.375,
cry,-1.0,-1.0,-1.0,-1.0,-1.0
crying,-1.0,-1.0,-1.0,-1.0,-1.0
culpable,-1.0,-1.0,-1.0,-1.0,-1.0
culprit,-1.0,-1.0,-1.0,-1.0,-1.0
cumbersome,-1.0,-1.0,-1.0,-1.0,-1.0
cunt,-1.0,-1.0,-1.0,-1.0,-1.0
cunts,-1.0,-1.0,-1.0,-1.0,-1.0
cuplrit,-1.0,-1.0,-1.0,-1.0,
cure,1.0,1.0,1.0,1.0,1.0
cure-all,1.0,1.0,1.0,1.0,
curious,1.0,1.0,1.0,1.0,1.0
curiously,-1.0,-1.0,-1.0,-1.0,-1.0
curse,-1.0,-1.0,-1.0,-1.0,-1.0
cursed,-1.0,-1.0,-1.0,-1.0,-1.0
curses,-1.0,-1.0,-1.0,-1.0,-1.0
cursory,-1.0,-1.0,-1.0,-1.0,-1.0
curt,-1.0,-1.0,-1.0,-1.0,-1.0
cushy,1.0,1.0,1.0,1.0,1.0
cuss,-1.0,-1.0,-1.0,-1.0,-1.0
cussed,-1.0,-1.0,-1.0,-1.0,-1.0
cut,-1.0,-1.0,-0.7583333333333333,-0.275,
cute,1.0,1.0,1.0,1.0,1.0
cutely,1.0,1.0,1.0,1.0,1.0
cuteness,0.7875,0.7875,1.0,0.575,
cutenesses,0.475,0.475,0.475,0.475,
cuter,1.0,1.0,1.0,1.0,1.0
cutes,1.0,1.0,1.0,1.0,1.0
cutesie,0.25,0.25,0.25,0.25,
cutesier,0.375,0.375,0.375,0.375,
cutesiest,0.55,0.55,0.55,0.55,
cutest,1.0,1.0,1.0,1.0,1.0
cutesy,0.525,0.525,0.525,0.525,
cutey,0.525,0.525,0.525,0.525,
cuteys,0.375,0.375,0.375,0.375,
cutie,1.0,1.0,1.0,1.0,1.0
cutiepie,0.5,0.5,0.5,0.5,
cuties,1.0,1.0,1.0,1.0,1.0
cuts,-0.3,-0.3,-0.3,-0.3,
cutthroat,-1.0,-1.0,-1.0,-1.0,-1.0
cutting,-0.125,-0.125,-0.125,-0.125,
cwot,-0.575,-0.575,-0.575,-0.575,
cynic,-1.0,-1.0,-1.0,-1.0,-1.0
cynical,-1.0,-1.0,-1.0,-1.0,-1.0
cynically,-1.0,-1.0,-1.0,-1.0,-1.0
cynicism,-1.0,-1.0,-1.0,-1.0,-1.0
cynicisms,-0.425,-0.425,-0.425,-0.425,
cynics,-0.075,-0.075,-0.075,-0.075,
d*mn,-1.0,-1.0,-1.0,-1.0,
d-':,-0.625,-0.625,-0.625,-0.625,
d-:,0.4,0.4,0.4,0.4,
d8,-0.8,-0.8,-0.8,-0.8,
d:,-0.2125,-0.2125,-0.2125,-0.2125,
d:<,-0.8,-0.8,-0.8,-0.8,
d;,-0.725,-0.725,-0.725,-0.725,
d=,-0.1875,-0.1875,-0.1875,-0.1875,
damage,-1.0,-1.0,-1.0,-1.0,-1.0
damaged,-1.0,-1.0,-1.0,-1.0,-1.0
damager,-0.475,-0.475,-0.475,-0.475,
damagers,-0.5,-0.5,-0.5,-0.5,
damages,-1.0,-1.0,-1.0,-1.0,-1.0
damaging,-1.0,-1.0,-1.0,-1.0,-1.0
damagingly,-0.5,-0.5,-0.5,-0.5,
damn,-1.0,-1.0,-1.0,-1.0,-1.0
damnable,-1.0,-1.0,-1.0,-0.425,
damnableness,-0.45,-0.45,-0.45,-0.45,
damnably,-1.0,-1.0,-1.0,-0.425,
damnation,-1.0,-1.0,-1.0,-1.0,-1.0
damnations,-0.35,-0.35,-0.35,-0.35,
damnatory,-0.65,-0.65,-0.65,-0.65,
damned,-1.0,-1.0,-1.0,-1.0,-1.0
damnedest,-0.125,-0.125,-0.125,-0.125,
damnified,-0.7,-0.7,-0.7,-0.7,
damnifies,-0.45,-0.45,-0.45,-0.45,
damnify,-0.55,-0.55,-0.55,-0.55,
damnifying,-0.6,-0.6,-0.6,-0.6,
damning,-1.0,-1.0,-1.0,-1.0,-1.0
damningly,-0.5,-0.5,-0.5,-0.5,
damnit,-0.6,-0.6,-0.6,-0.6,
damns,-0.55,-0.55,-0.55,-0.55,
damper,-1.0,-1.0,-1.0,-1.0,-1.0
dance,1.0,1.0,1.0,1.0,
